date,ticker,name,total_score
2026-07-16,3374,精材,80.0
2026-07-16,3388,崇越電,10.0
2026-07-16,3406,玉晶光,20.0
2026-07-16,3443,創意,20.0
2026-07-16,3450,聯鈞,25.0
2026-07-16,3481,群創,25.0
2026-07-16,3485,敘豐,15.0
2026-07-16,3491,昇達科,35.0
2026-07-16,3504,揚明光,10.0
2026-07-16,3526,凡甲,40.0
2026-07-16,3529,力旺,30.0
2026-07-16,3532,台勝科,55.0
2026-07-16,3533,嘉澤,40.0
2026-07-16,3581,博磊,20.0
2026-07-16,3583,辛耘,60.0
2026-07-16,3595,山太士,45.0
2026-07-16,3596,智易,35.0
2026-07-16,3605,宏致,35.0
2026-07-16,3607,倉和,15.0
2026-07-16,3617,碩天,60.0
2026-07-16,3624,光頡,20.0
2026-07-16,3653,健策,50.0
2026-07-16,3665,貿聯,45.0
2026-07-16,3673,TPK宸鴻,10.0
2026-07-16,3675,德微,30.0
2026-07-16,3680,家登,70.0
2026-07-16,3693,營邦,25.0
2026-07-16,3706,神達,50.0
2026-07-16,3707,漢磊,10.0
2026-07-16,3711,日月光投控,65.0
2026-07-16,4542,科嶠,55.0
2026-07-16,4571,鈞興-KY,15.0
2026-07-16,4722,國精化,30.0
2026-07-16,4749,新應材,40.0
2026-07-16,4755,三福化,45.0
2026-07-16,4764,雙鍵,55.0
2026-07-16,4768,晶呈科技,0
2026-07-16,4931,新盛力,15.0
2026-07-16,4958,臻鼎-KY,35.0
2026-07-16,4966,譜瑞-KY,25.0
2026-07-16,4968,立積,5.0
2026-07-16,4979,華星光,25.0
2026-07-16,5234,達興材料,30.0
2026-07-16,5269,祥碩,45.0
2026-07-16,5274,信驊,25.0
2026-07-16,5347,世界先進,70.0
2026-07-16,5425,台半,30.0
2026-07-16,5471,松翰,50.0
2026-07-16,5475,德宏,10.0
2026-07-16,5483,中美晶,85.0
2026-07-16,5536,聖暉,60.0
2026-07-16,601208.SH,東材,0
2026-07-16,603026.SH,聖泉集團,0
2026-07-16,6139,亞翔,45.0
2026-07-16,6147,頎邦,25.0
2026-07-16,6173,信昌電,30.0
2026-07-16,6182,合晶,65.0
2026-07-16,6187,萬潤,55.0
2026-07-16,6196,帆宣,70.0
2026-07-16,6202,盛群,35.0
2026-07-16,6209,今國光,25.0
2026-07-16,6213,聯茂,45.0
2026-07-16,6217,中探針,10.0
2026-07-16,6223,旺矽,30.0
2026-07-16,6274,台燿,15.0
2026-07-16,6285,啟碁,55.0
2026-07-16,6291,沛亨,15.0
2026-07-16,6426,統新,15.0
2026-07-16,6435,大中,35.0
2026-07-16,6442,光聖,15.0
2026-07-16,6446,藥華藥,35.0
2026-07-16,6449,鈺邦,20.0
2026-07-16,6451,訊芯-KY,25.0
2026-07-16,6488,環球晶,75.0
2026-07-16,6510,精測,30.0
2026-07-16,6515,穎崴,15.0
2026-07-16,6531,愛普,35.0
2026-07-16,6548,長科,30.0
2026-07-16,6640,均華,45.0
2026-07-16,6654,天正,20.0
2026-07-16,6669,緯穎,60.0
2026-07-16,6683,雍智科技,10.0
2026-07-16,6691,洋基工程,65.0
2026-07-16,6696,仁新醫藥,95.0
2026-07-16,6727,亞泰金屬,20.0
2026-07-16,6739,竹陞科技,65.0
2026-07-16,6770,力積電,60.0
2026-07-16,6781,AES-KY,30.0
2026-07-16,6805,富世達,40.0
2026-07-16,7610,聯友金屬-創,80.0
2026-07-16,7669,碩正,35.0
2026-07-16,7729,仲恩生醫,20.0
2026-07-16,7751,竑騰,25.0
2026-07-16,7763,崇舜,30.0
2026-07-16,7769,鴻勁,45.0
2026-07-16,7828,創新服務,65.0
2026-07-16,8021,尖點,35.0
2026-07-16,8027,鈦昇,40.0
2026-07-16,8042,金山電,30.0
2026-07-16,8046,南電,50.0
2026-07-16,8070,長華,15.0
2026-07-16,8086,宏捷科,15.0
2026-07-16,8096,擎亞,40.0
2026-07-16,8150,南茂,95.0
2026-07-16,8210,勤誠,50.0
2026-07-16,8255,朋程,30.0
2026-07-16,8261,富鼎,35.0
2026-07-16,8299,群聯,20.0
2026-07-16,8358,金居,30.0
2026-07-16,8374,羅昇,25.0
